#data taken from https://github.com/defeo/Fast-Algorithms-for-computing-isogenies/blob/master/C2.dat
# gf2x, @rhea (4/10/2010)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
163	6.98194	6.98594	1.3438	4.28335	0.59491	5.50316	104	0.01891	0.03500
173	6.98694	6.98894	1.3438	4.28435	0.59591	5.50016	59	0.02057	0.03501
193	6.98294	6.98194	1.3428	4.28335	0.59890	5.50116	274	0.02313	0.03503
197	7.03993	7.18091	1.38179	4.40433	0.61090	5.64914	97	0.02496	0.03506
199	7.18791	7.18791	1.38379	4.41133	0.61190	5.65414	405	0.02483	0.03514
211	6.97794	6.97994	1.34479	4.27935	0.59491	5.49916	209	0.02636	0.03498
223	6.98094	6.98494	1.3418	4.28435	0.59490	5.50016	187	0.02762	0.03499
227	6.98594	6.98494	1.3448	4.28435	0.59590	5.49916	416	0.02823	0.03501
233	6.97594	6.97594	1.34479	4.28435	0.59391	5.49816	330	0.02900	0.03499
239	6.97894	6.98194	1.3438	4.28435	0.59690	5.50016	178	0.02953	0.03499
241	6.98394	6.97994	1.3438	4.28435	0.59690	5.50016	359	0.02982	0.03500
251	6.98094	6.97794	1.3438	4.28335	0.59490	5.50116	512	0.03092	0.03494 # Isogeny not found
257	18.1162	17.9313	6.95594	9.65053	1.74473	32.779	295	0.03324	0.13987
263	17.9263	17.9273	3.00054	9.66153	1.74374	33.2469	680	0.03776	0.14031
271	17.9383	17.9333	3.00254	9.65253	1.75073	33.179	473	0.04160	0.14062
281	18.1212	18.1292	3.03254	9.75952	1.76173	33.128	896	0.04455	0.14128
283	18.1442	18.1252	3.03054	9.75352	1.76473	33.6319	1024	0.04568	0.14196 # Isogeny not found
307	18.1242	18.1262	3.03354	9.75452	1.76273	33.135	44	0.05194	0.14128
311	18.1822	18.2332	3.05954	9.77251	1.76773	33.2489	70	0.05272	0.14235
313	18.1802	18.1772	3.04154	9.79151	1.78173	33.2599	23	0.05347	0.14179
317	18.1712	18.1812	3.04054	9.79251	1.76773	33.2539	995	0.05385	0.14180
331	18.1862	18.1892	3.04254	9.79351	1.76873	33.2419	615	0.05872	0.14167
337	18.1842	18.1802	3.03854	9.77451	1.77073	33.13	293	0.06012	0.14146
347	18.1652	18.1382	3.03154	9.76152	1.76073	33.4899	731	0.06331	0.142
349	18.1932	18.1502	3.03354	9.8725	1.80373	33.8569	359	0.06389	0.14229
353	18.1382	18.1282	3.03554	9.77152	1.78773	33.8089	270	0.06490	0.14214
359	18.6162	18.1122	3.03254	9.74452	1.76473	33.189	146	0.06581	0.14192
367	18.6822	18.6082	3.11353	10.0145	1.80373	33.8619	287	0.06549	0.14155
379	18.1212	18.1082	3.03154	9.74352	1.75973	33.119	465	0.06712	0.14122
397 18.1052 18.0952 3.02754 9.73852 1.76573 33.105 102 0.07325 0.14117
